date,title,score,url
2019/1/1 00:20,"Berkshire, Apple And 8 Other Appealing Stocks For The New Year ",0.01948689,https://www.forbes.com/sites/johndorfman/2018/12/31/berkshire-apple-and-8-other-appealing-stocks-for-the-new-year/
2019/1/1 00:46,How To Use The Yoga App On The Apple Watch To Track Your Practice ,0.066532299,https://www.forbes.com/sites/leebelltech/2018/12/31/how-to-use-the-yoga-app-on-the-apple-watch-to-track-your-practice/
2019/1/1 02:45,The Best Apple Watch Apps For Health and Fitness ,0.062937355,https://www.forbes.com/sites/leebelltech/2018/12/31/the-best-apple-watch-apps-for-health-and-fitness/
2019/1/1 05:00,iPad Pro 2018 Long-Term Review: Beauty Meets Brains As Apple Gets Creative ,0.529046636,https://www.forbes.com/sites/davidphelan/2018/12/31/ipad-pro-2018-long-term-review-beauty-meets-brains-as-apple-gets-creative/
2019/1/1 05:19,The Real Reason For Soft Apple iPhone Demand Is Painfully Obvious ,1.225375732,https://www.forbes.com/sites/davealtavilla/2018/12/31/the-real-reason-for-weak-apple-iphone-demand-is-painfully-obvious/
2019/1/2 12:56,"Possible Support And Resistance Spots For Microsoft, Apple And Even Amazon ",0.010886219,https://www.forbes.com/sites/johnnavin/2019/01/01/support-and-resistance-levels-for-microsoft-apple-and-even-amazon/
2019/1/3 03:27,How Much Does Apple Stand To Lose As Netflix Stops In-App Subscriptions? ,0.040914039,https://www.forbes.com/sites/greatspeculations/2019/01/02/how-much-does-apple-stand-to-lose-as-netflix-stops-in-app-subscriptions/
2019/1/3 07:57,More Bad News From Apple As Tim Cook Confirms Falling iPhone Sales ,0.825716442,https://www.forbes.com/sites/ewanspence/2019/01/02/apple-iphone-xs-max-iphone-xr-iphone-se-sales-disaster-mistake/
2019/1/3 11:13,"Which Company Has The Best Code Quality Between Google, Apple, Microsoft and Amazon? ",0.226582275,https://www.forbes.com/sites/quora/2019/01/02/which-company-has-the-best-code-quality-between-google-apple-microsoft-and-amazon/
2019/1/3 20:19,Is The Global Economy Half The Apple It Used To Be? ,0.011345699,https://www.forbes.com/sites/dantedisparte/2019/01/03/is-the-global-economy-half-the-apple-it-used-to-be/
2019/1/3 20:38,Apple's Shock Earnings Warning Raises The Specter Of GE-Like Performance ,0.007802475,https://www.forbes.com/sites/jimcollins/2019/01/03/apples-shock-earnings-warning-raises-the-specter-of-ge-like-performance/
2019/1/3 21:36,"To Win Like Google, Apple Or Amazon - Make Your People Feel Safe ",0.015684394,https://www.forbes.com/sites/duenablomstrom1/2019/01/03/to-win-like-google-apple-or-amazon-make-your-people-feel-safe/
2019/1/4 01:52,"We Are Cutting Our Price Estimate For Apple, But Still Remain Bullish On The Stock ",0.003130857,https://www.forbes.com/sites/greatspeculations/2019/01/03/we-are-cutting-our-price-estimate-for-apple-but-still-remain-bullish-on-the-stock/
2019/1/4 02:57,"Apple Throws China Under The Bus, And Opens A Pandora's Box ",0.135324031,https://www.forbes.com/sites/kenrapoza/2019/01/03/apple-throws-china-under-the-bus-and-opens-a-pandoras-box/
2019/1/4 05:16,"Warren Buffett, Down $4.3B In A Day, Was Right To Downplay Berkshire's Apple Gains ",0.069283096,https://www.forbes.com/sites/antoinegara/2019/01/03/warren-buffett-down-43b-in-a-day-was-right-to-downplay-berkshires-apple-gains/
2019/1/4 07:29,"Apple Issues Profit Warning, Cuts Revenue Outlook By $9 Billion Amid Pricey iPhone Sales Drop ",0.007555223,https://www.forbes.com/sites/jeanbaptiste/2019/01/03/apple-issues-profit-warning-cuts-revenue-outlook-by-17-billion-amid-pricey-iphone-sales-drop/
2019/1/4 11:10,iPhone Sales Fears After Apple Slashes Estimates ,0.565834195,https://www.forbes.com/sites/gordonkelly/2019/01/03/apple-iphone-xs-max-xr-upgrade-price-cost-sale-new-iphone-xi-iphone-8-plus/
2019/1/4 16:42,Why Apple's Troubles In China Seem Likely To Worsen ,0.042511438,https://www.forbes.com/sites/ywang/2019/01/04/why-apples-prospects-in-china-seem-likely-to-go-from-bad-to-worse/
